Transect,Point,DFS(m),Surveyor,Lattitude,Longitude,Date,Depth(m),Substrate,Weather,CerDem,ElaSp,LemMin,MyrSpi,NajMin,NymOdo,PotBic,PotCri,PotPer,PotPus,StuPec,Unidentif3,ValAme,ZanPal
1,1,1,Greg,41.4238,-73.45253,9/4/08,0.2,Sand,sunny,2,0,0,2,0,0,0,0,0,0,0,0,0,0
1,2,0,Greg,41.42384,-73.45252,9/4/08,0.5,Sand,sunny,3,0,0,2,0,0,0,0,0,0,0,0,0,0
1,3,10,Greg,41.42389,-73.45256,9/4/08,1,Sand,sunny,3,0,0,3,0,0,0,0,0,0,0,0,0,0
1,4,20,Greg,41.42397,-73.45259,9/4/08,1.5,Silt,sunny,3,0,0,3,0,0,0,0,0,0,0,0,0,0
1,5,30,GregBugbee,41.42406,-73.45267,9/4/08,1.5,Sand,T105,2,0,0,3,0,0,0,0,0,0,0,0,0,0
1,6,40,Greg,41.42414,-73.4527,9/4/08,1.6,Sitt,South,3,0,0,3,0,0,0,0,0,0,0,0,0,0
1,7,50,Greg,41.42421,-73.45277,9/4/08,0,Silt,sunny,3,0,0,3,0,0,0,0,0,0,0,0,0,0
1,8,60,GregBugbee,41.4243,-73.45279,9/4/08,2,Silt,sunny,2,0,0,3,0,0,0,0,0,0,0,0,0,0
1,9,70,Greg,41.42439,-73.45284,9/4/08,1.8,Silt,sunny,2,0,0,2,0,0,0,0,0,0,0,0,0,0
1,10,80,Greg,41.42445,-73.45293,9/4/08,1.8,Silt,sunny,3,0,0,3,0,0,0,0,0,0,0,0,0,0
2,1,0,Greg,41.42755,-73.44926,9/4/08,0.2,Gravel,sunny,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,1,Greg,41.42755,-73.44932,9/4/08,1,Sand,sunny,2,0,0,4,0,0,0,0,0,0,0,0,0,0
2,3,10,Greg,41.42751,-73.44937,9/4/08,2.5,Silt,sunny,3,0,0,2,0,0,0,0,0,0,0,0,0,0
2,4,20,Greg,41.42751,-73.44949,9/4/08,2.5,Sand,sunny,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2,5,30,Greg,41.42748,-73.44959,9/4/08,3,Silt,sunny,3,0,0,2,0,0,0,0,0,0,0,0,0,0
2,6,40,Greg,41.42743,-73.44971,9/4/08,1.5,Gravel,sunny,0,0,0,2,0,0,0,0,0,0,0,0,0,0
2,7,50,Greg,41.42738,-73.44985,9/4/08,1.5,Gravel,sunny,0,0,0,2,0,0,0,0,0,0,0,0,0,0
2,8,60,Greg,41.42727,-73.44988,9/4/08,2,Gravel,sunny,0,0,0,3,0,0,0,0,0,0,0,0,0,0
2,9,70,Greg,41.42723,-73.44999,9/4/08,1.6,Sand,sunny,0,0,0,3,0,0,0,0,0,0,0,0,0,0
2,10,80,Greg,41.42719,-73.45009,9/4/08,3,Gravel,sunny,3,0,0,3,0,0,0,0,0,0,0,0,0,0
3,1,0,Greg,41.47028,-73.43531,9/4/08,0.2,Gravel,sunny,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2,5,Greg,41.4703,-73.43523,9/4/08,1,Sand,sunny,0,0,0,2,2,0,0,0,0,0,2,0,0,0
3,3,10,Greg,41.47028,-73.43518,9/4/08,2.2,Sand,sunny,0,0,0,4,0,0,0,0,0,0,0,0,0,0
3,4,20,Greg,41.47027,-73.43508,9/4/08,3,Sitt,sunny,0,0,0,3,0,0,0,0,0,0,0,0,0,0
3,5,30,Greg,41.47031,-73.43496,9/4/08,7,Silt,sunny,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,6,40,Greg,41.47032,-73.43481,9/4/08,8,Sitt,sunny,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,7,50,GregBugbee,41.47046,-73.43478,9/4/08,9,Sitt,sunny,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,8,60,Greg,41.47034,-73.43459,9/4/08,9,Silt,sunny,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,9,70,Greg,41.47046,-73.4345,9/4/08,9,Silt,sunny,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,10,80,Greg,41.47057,-73.43444,9/4/08,9,Sitt,sunny,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,1,Greg,41.57116,-73.48834,9/4/08,0.3,Peat,sunny,3,0,0,2,0,0,0,0,0,0,0,0,0,0
4,2,5,Greg,41.57112,-73.48838,9/4/08,0.5,Peat,sunny,0,0,0,2,0,0,0,0,0,0,0,0,0,0
4,3,10,Greg,41.57106,-73.4884,9/4/08,1.5,Gravel,sunny,1,0,0,3,0,2,0,0,0,0,0,0,0,0
4,4,20,Greg,41.57099,-73.48843,9/4/08,1.2,Silt,sunny,0,0,0,3,0,0,0,0,0,0,0,0,0,0
4,5,30,Greg,41.57092,-73.48852,9/4/08,2,Silt,sunny,0,0,0,3,0,0,0,0,0,0,0,0,0,0
4,6,40,Greg,41.57085,-73.48861,9/4/08,2.2,Silt,sunny,0,0,3,0,0,0,0,0,0,0,0,0,0,0
4,7,50,Greg,41.57076,-73.48857,9/4/08,3,Silt,sunny,0,0,0,3,0,0,0,0,0,0,0,0,0,0
4,8,60,Greg,41.57066,-73.48865,9/4/08,3,Silt,sunny,0,0,0,5,0,0,0,0,0,0,0,0,0,0
4,9,70,Greg,41.57054,-73.48871,9/4/08,3,Silt,sunny,0,0,0,5,0,0,0,0,0,0,0,0,0,0
4,10,80,Greg,41.57045,-73.48869,9/4/08,3.1,Silt,sunny,0,0,0,5,0,0,0,0,0,0,0,0,0,0
5,1,1,Greg,41.50217,-73.45151,9/5/08,0.1,Sand,sunny,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2,5,GregBugbee,41.50217,-73.45158,9/5/08,1,Sand,sunny,0,0,0,2,0,0,0,0,0,0,0,0,0,0
5,3,10,Greg,41.50221,-73.45163,9/5/08,1.2,Sand,sunny,0,0,0,2,0,0,0,0,0,0,0,0,0,0
5,4,20,Greg,41.50217,-73.45175,9/5/08,1.5,Sand,sunny,0,0,0,2,1,0,0,1,0,0,0,0,0,0
5,5,30,GregBugbee,41.50212,-73.45187,9/5/08,2.8,Sand,sunny,2,0,0,5,0,0,0,0,0,0,0,0,0,0
5,6,40,Greg,41.50217,-73.45198,9/5/08,0,Sand,sunny,0,0,0,4,0,0,0,0,0,0,0,0,0,0
5,7,50,Greg,41.5021,-73.45214,9/5/08,3.5,Sand,sunny,0,0,0,4,0,0,0,0,0,0,0,0,0,0
5,8,60,GregBugbee,41.50205,-73.45222,9/5/08,3.8,Sand,sunny,2,0,0,3,0,0,0,0,0,0,0,0,0,0
5,9,70,Greg,41.50212,-73.45236,9/5/08,5,Sand,sunny,1,0,0,2,0,0,0,0,0,0,0,0,0,0
5,10,80,Greg,41.50221,-73.45249,9/5/08,5.5,Sand,sunny,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,1,GregBugbee,41.51386,-73.45343,9/5/08,0.2,Peat,sunny,0,0,2,2,0,0,0,0,0,0,0,0,0,0
6,2,5,Greg,41.51392,-73.45341,9/5/08,0.6,Sand,sunny,1,0,0,2,0,0,0,0,0,0,0,0,0,0
6,3,10,Greg,41.51395,-73.45339,9/5/08,1.2,Sand,sunny,0,0,0,2,0,0,0,0,0,0,0,0,0,0
6,4,20,Greg,41.51405,-73.45344,9/5/08,1.6,Sand,sunny,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,5,30,Greg,41.51412,-73.45343,9/5/08,1.6,Gravel,sunny,0,0,0,4,0,0,0,0,0,0,0,0,0,0
6,6,40,Greg,41.51422,-73.45341,9/5/08,2.5,Sand,sunny,0,0,0,2,0,0,0,0,0,0,0,0,0,0
6,7,0,Greg,41.51431,-73.45342,9/5/08,2.6,Sand,sunny,0,0,0,2,0,0,0,0,0,0,0,0,0,0
6,8,60,GregBugbee,41.5144,-73.45338,9/5/08,2.8,Sand,sunny,0,0,0,3,0,0,0,0,0,0,0,0,0,0
6,9,70,GregBugbee,41.5145,-73.45341,9/5/08,4.3,Sand,sunny,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6,10,80,GregBugbee,41.5146,-73.45345,9/5/08,5.2,Gravel,sunny,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1,0,GregBugbee,41.57151,-73.44274,9/12/08,0.2,Rock,Cloudy,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2,5,Greg,41.57151,-73.44281,9/12/08,1,Gravel,Cloudy,1,0,0,2,1,0,0,0,0,0,0,0,0,0
7,3,10,Greg,41.57148,-73.44285,9/12/08,1.8,Gravel,Cloudy,0,0,0,2,0,0,0,0,0,0,0,0,0,0
7,4,20,GregBugbee,41.57145,-73.44297,9/12/08,2.5,Sand,Cloudy,0,0,0,5,0,0,0,0,0,0,0,0,0,0
7,5,30,GregBugbee,41.57148,-73.4431,9/12/08,3.2,Sand,Cloudy,0,0,0,5,0,0,0,0,0,0,0,0,0,0
7,6,40,GregBugbee,41.57152,-73.4432,9/12/08,4,Sand,Cloudy,0,0,0,4,0,0,0,0,0,0,0,0,0,0
7,7,50,GregBugbee,41.57147,-73.44336,9/12/08,5,Sand,Cloudy,2,0,0,1,0,0,0,0,0,0,0,0,0,0
7,8,60,GregBugbee,41.57139,-73.44345,9/12/08,5.6,Sand,Cloudy,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,9,70,Greg,41.57149,-73.44359,9/12/08,6.8,Sand,Cloudy,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,10,80,GregBugbee,41.57138,-73.44369,9/12/08,7,Sand,Cloudy,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1,1,GregBugbee,41.51294,-73.44122,9/12/08,0.3,Gravel,Cloudy,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2,5,GregBugbee,41.5129,-73.44125,9/12/08,0.5,Sand,Cloudy,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8,3,10,GregBugbee,41.51285,-73.44127,9/12/08,0.8,Sand,Cloudy,0,0,0,0,0,0,0,0,0,0,0,1,0,2
8,4,20,Greg,41.51278,-73.44118,9/12/08,1,Gravel,Cloudy,0,0,0,0,0,0,0,0,0,0,0,0,0,2
8,5,30,Greg,41.51268,-73.44123,9/12/08,1,Gravel,Cloudy,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,6,40,Greg,41.51262,-73.4412,9/12/08,1.8,Sand,Cloudy,0,0,0,4,0,0,0,0,0,0,0,0,0,0
8,7,50,Greg,41.51252,-73.44119,9/12/08,2.1,Sand,Cloudy,0,0,0,4,0,0,0,0,0,0,0,0,0,0
8,8,60,GregBugbee,41.5124,-73.44122,9/12/08,2.96,Sand,Cloudy,0,0,0,4,0,0,0,0,0,0,0,0,0,0
8,9,70,Greg,41.51237,-73.44121,9/12/08,3,Gravel,Cloudy,0,0,0,4,0,0,0,0,0,0,0,0,0,0
8,10,80,Greg,41.51224,-73.44135,9/12/08,3,Sand,Cloudy,0,0,0,4,0,0,0,0,0,0,0,0,0,0
9,1,0,GregBugbee,41.48042,-73.43463,9/12/08,0.2,Sand,Cloudy,0,1,0,2,0,0,0,0,2,0,0,1,0,0
9,2,5,GregBugbee,41.4804,-73.43465,9/12/08,0.8,Sand,Cloudy,0,0,0,2,1,0,0,0,2,0,0,0,0,0
9,3,10,Greg,41.48039,-73.4347,9/12/08,1,Sand,Cloudy,0,0,0,3,0,0,0,0,0,0,0,0,0,0
9,4,20,GregBugbee,41.4804,-73.43486,9/12/08,1.8,Sand,Cloudy,1,0,0,4,0,0,0,0,0,0,0,0,0,0
9,5,30,Greg,41.48037,-73.43497,9/12/08,2,Sand,Cloudy,1,0,0,5,0,0,0,0,0,0,0,0,0,0
9,6,40,Greg,41.48032,-73.43507,9/12/08,2.2,Sand,Cloudy,1,0,0,5,0,0,0,0,0,0,0,0,0,0
9,7,50,Greg,41.48035,-73.43518,9/12/08,2.5,Sand,Cloudy,0,0,0,4,0,0,0,0,0,0,0,0,0,0
9,8,60,Greg,41.48036,-73.43532,9/12/08,2.3,Sand,Cloudy,0,0,0,4,0,0,0,0,0,0,0,0,0,0
9,9,70,Greg,41.48021,-73.43542,9/12/08,1.8,Sand,Cloudy,3,0,0,3,0,0,0,0,0,0,0,0,0,0
9,10,80,GregBugbee,41.48018,-73.43555,9/12/08,1.25,Sand,Cloudy,2,0,0,3,0,0,0,0,0,0,0,0,0,0
10,1,1,GregBugbee,41.44711,-73.42995,9/12/08,0.2,Sand,Cloudy,0,0,1,2,2,0,0,0,0,0,0,0,0,0
10,2,5,Greg,41.44713,-73.42991,9/12/08,0.5,Sand,Cloudy,2,0,1,4,0,0,0,0,0,0,0,0,0,0
10,3,10,Greg,41.44714,-73.42984,9/12/08,0.8,Sand,sunny,2,0,1,4,0,0,0,0,0,0,0,0,2,0
10,4,20,GregBugbee,41.44718,-73.42974,9/12/08,1.5,Sand,Cloudy,2,0,0,2,0,0,0,0,0,0,0,0,2,0
10,5,30,Greg,41.44718,-73.4296,9/12/08,1.2,Sand,Cloudy,2,0,0,2,0,0,0,0,0,0,0,0,0,0
10,6,40,GregBugbee,41.44724,-73.4295,9/12/08,0.5,Sand,Cloudy,0,0,1,5,0,0,0,0,0,0,0,0,0,0
10,7,43,GregBugbee,41.44726,-73.42947,9/12/08,0.3,Sand,Cloudy,0,0,1,2,2,0,1,0,0,0,0,0,0,1